date,DO
1/1/2008,8.532138655
1/2/2008,8.546845938
1/3/2008,8.561553221
1/4/2008,8.576260504
1/5/2008,8.590967787
1/6/2008,8.60567507
1/7/2008,8.620382353
1/8/2008,8.635089636
1/9/2008,8.649796919
1/10/2008,8.664504202
1/11/2008,8.679211485
1/12/2008,8.693918768
1/13/2008,8.70862605
1/14/2008,8.723333333
1/15/2008,8.788530466
1/16/2008,8.853727599
1/17/2008,8.918924731
1/18/2008,8.984121864
1/19/2008,9.049318996
1/20/2008,9.114516129
1/21/2008,9.179713262
1/22/2008,9.244910394
1/23/2008,9.310107527
1/24/2008,9.375304659
1/25/2008,9.440501792
1/26/2008,9.505698925
1/27/2008,9.570896057
1/28/2008,9.63609319
1/29/2008,9.701290323
1/30/2008,9.766487455
1/31/2008,9.831684588
2/1/2008,9.89688172
2/2/2008,9.962078853
2/3/2008,10.02727599
2/4/2008,10.09247312
2/5/2008,10.15767025
2/6/2008,10.22286738
2/7/2008,10.28806452
2/8/2008,10.35326165
2/9/2008,10.41845878
2/10/2008,10.48365591
2/11/2008,10.54885305
2/12/2008,10.61405018
2/13/2008,10.67924731
2/14/2008,10.74444444
2/15/2008,10.70382479
2/16/2008,10.66320513
2/17/2008,10.62258547
2/18/2008,10.58196581
2/19/2008,10.54134615
2/20/2008,10.5007265
2/21/2008,10.46010684
2/22/2008,10.41948718
2/23/2008,10.37886752
2/24/2008,10.33824786
2/25/2008,10.29762821
2/26/2008,10.25700855
2/27/2008,10.21638889
2/28/2008,10.17576923
2/29/2008,10.13514957
3/1/2008,10.09452991
3/2/2008,10.05391026
3/3/2008,10.0132906
3/4/2008,9.97267094
3/5/2008,9.932051282
3/6/2008,9.891431624
3/7/2008,9.850811966
3/8/2008,9.810192308
3/9/2008,9.76957265
3/10/2008,9.728952991
3/11/2008,9.688333333
3/12/2008,9.646764706
3/13/2008,9.605196078
3/14/2008,9.563627451
3/15/2008,9.522058824
3/16/2008,9.480490196
3/17/2008,9.438921569
3/18/2008,9.397352941
3/19/2008,9.355784314
3/20/2008,9.314215686
3/21/2008,9.272647059
3/22/2008,9.231078431
3/23/2008,9.189509804
3/24/2008,9.147941176
3/25/2008,9.106372549
3/26/2008,9.064803922
3/27/2008,9.023235294
3/28/2008,8.981666667
3/29/2008,8.940098039
3/30/2008,8.898529412
3/31/2008,8.856960784
4/1/2008,8.815392157
4/2/2008,8.773823529
4/3/2008,8.732254902
4/4/2008,8.690686275
4/5/2008,8.649117647
4/6/2008,8.60754902
4/7/2008,8.565980392
4/8/2008,8.524411765
4/9/2008,8.482843137
4/10/2008,8.44127451
4/11/2008,8.399705882
4/12/2008,8.358137255
4/13/2008,8.316568627
4/14/2008,8.275
4/15/2008,8.26027027
4/16/2008,8.245540541
4/17/2008,8.230810811
4/18/2008,8.216081081
4/19/2008,8.201351351
4/20/2008,8.186621622
4/21/2008,8.171891892
4/22/2008,8.157162162
4/23/2008,8.142432432
4/24/2008,8.127702703
4/25/2008,8.112972973
4/26/2008,8.098243243
4/27/2008,8.083513514
4/28/2008,8.068783784
4/29/2008,8.054054054
4/30/2008,8.039324324
5/1/2008,8.024594595
5/2/2008,8.009864865
5/3/2008,7.995135135
5/4/2008,7.980405405
5/5/2008,7.965675676
5/6/2008,7.950945946
5/7/2008,7.936216216
5/8/2008,7.921486486
5/9/2008,7.906756757
5/10/2008,7.892027027
5/11/2008,7.877297297
5/12/2008,7.862567568
5/13/2008,7.847837838
5/14/2008,7.833108108
5/15/2008,7.818378378
5/16/2008,7.803648649
5/17/2008,7.788918919
5/18/2008,7.774189189
5/19/2008,7.759459459
5/20/2008,7.74472973
5/21/2008,7.73
5/22/2008,7.725614035
5/23/2008,7.72122807
5/24/2008,7.716842105
5/25/2008,7.71245614
5/26/2008,7.708070175
5/27/2008,7.703684211
5/28/2008,7.699298246
5/29/2008,7.694912281
5/30/2008,7.690526316
5/31/2008,7.686140351
6/1/2008,7.681754386
6/2/2008,7.677368421
6/3/2008,7.672982456
6/4/2008,7.668596491
6/5/2008,7.664210526
6/6/2008,7.659824561
6/7/2008,7.655438596
6/8/2008,7.651052632
6/9/2008,7.646666667
6/10/2008,7.638373016
6/11/2008,7.630079365
6/12/2008,7.621785714
6/13/2008,7.613492063
6/14/2008,7.605198413
6/15/2008,7.596904762
6/16/2008,7.588611111
6/17/2008,7.58031746
6/18/2008,7.57202381
6/19/2008,7.563730159
6/20/2008,7.555436508
6/21/2008,7.547142857
6/22/2008,7.538849206
6/23/2008,7.530555556
6/24/2008,7.522261905
6/25/2008,7.513968254
6/26/2008,7.505674603
6/27/2008,7.497380952
6/28/2008,7.489087302
6/29/2008,7.480793651
6/30/2008,7.4725
7/1/2008,7.464206349
7/2/2008,7.455912698
7/3/2008,7.447619048
7/4/2008,7.439325397
7/5/2008,7.431031746
7/6/2008,7.422738095
7/7/2008,7.414444444
7/8/2008,7.406150794
7/9/2008,7.397857143
7/10/2008,7.389563492
7/11/2008,7.381269841
7/12/2008,7.37297619
7/13/2008,7.36468254
7/14/2008,7.356388889
7/15/2008,7.348095238
7/16/2008,7.339801587
7/17/2008,7.331507937
7/18/2008,7.323214286
7/19/2008,7.314920635
7/20/2008,7.306626984
7/21/2008,7.298333333
7/22/2008,7.314312169
7/23/2008,7.330291005
7/24/2008,7.346269841
7/25/2008,7.362248677
7/26/2008,7.378227513
7/27/2008,7.394206349
7/28/2008,7.410185185
7/29/2008,7.426164021
7/30/2008,7.442142857
7/31/2008,7.458121693
8/1/2008,7.474100529
8/2/2008,7.490079365
8/3/2008,7.506058201
8/4/2008,7.522037037
8/5/2008,7.538015873
8/6/2008,7.553994709
8/7/2008,7.569973545
8/8/2008,7.585952381
8/9/2008,7.601931217
8/10/2008,7.617910053
8/11/2008,7.633888889
8/12/2008,7.615692137
8/13/2008,7.597495386
8/14/2008,7.579298634
8/15/2008,7.561101883
8/16/2008,7.542905131
8/17/2008,7.524708379
8/18/2008,7.506511628
8/19/2008,7.488314876
8/20/2008,7.470118125
8/21/2008,7.451921373
8/22/2008,7.433724622
8/23/2008,7.41552787
8/24/2008,7.397331118
8/25/2008,7.379134367
8/26/2008,7.360937615
8/27/2008,7.342740864
8/28/2008,7.324544112
8/29/2008,7.306347361
8/30/2008,7.288150609
8/31/2008,7.269953858
9/1/2008,7.251757106
9/2/2008,7.233560354
9/3/2008,7.215363603
9/4/2008,7.197166851
9/5/2008,7.1789701
9/6/2008,7.160773348
9/7/2008,7.142576597
9/8/2008,7.124379845
9/9/2008,7.106183093
9/10/2008,7.087986342
9/11/2008,7.06978959
9/12/2008,7.051592839
9/13/2008,7.033396087
9/14/2008,7.015199336
9/15/2008,6.997002584
9/16/2008,6.978805832
9/17/2008,6.960609081
9/18/2008,6.942412329
9/19/2008,6.924215578
9/20/2008,6.906018826
9/21/2008,6.887822075
9/22/2008,7.065393134
9/23/2008,7.061773399
9/24/2008,7.098097063
9/25/2008,7.134420726
9/26/2008,7.17074439
9/27/2008,7.207068053
9/28/2008,7.243391717
9/29/2008,7.27971538
9/30/2008,7.316039044
10/1/2008,7.352362708
10/2/2008,7.388686371
10/3/2008,7.425010035
10/4/2008,7.461333698
10/5/2008,7.497657362
10/6/2008,7.533981025
10/7/2008,7.570304689
10/8/2008,7.606628352
10/9/2008,7.642952016
10/10/2008,7.67927568
10/11/2008,7.715599343
10/12/2008,7.751923007
10/13/2008,7.78824667
10/14/2008,7.824570334
10/15/2008,7.860893997
10/16/2008,7.897217661
10/17/2008,7.933541325
10/18/2008,7.969864988
10/19/2008,8.006188652
10/20/2008,8.042512315
10/21/2008,8.070591133
10/22/2008,8.102195253
10/23/2008,8.133799373
10/24/2008,8.165403493
10/25/2008,8.197007613
10/26/2008,8.228611733
10/27/2008,8.260215853
10/28/2008,8.291819973
10/29/2008,8.323424093
10/30/2008,8.355028213
10/31/2008,8.386632333
11/1/2008,8.418236453
11/2/2008,8.449840573
11/3/2008,8.481444693
11/4/2008,8.513048813
11/5/2008,8.544652933
11/6/2008,8.576257053
11/7/2008,8.607861173
11/8/2008,8.639465293
