date,Mean_NO,NO
1/1/2008,0.192587535,192.587535
1/2/2008,0.192106443,192.1064426
1/3/2008,0.19162535,191.6253501
1/4/2008,0.191144258,191.1442577
1/5/2008,0.190663165,190.6631653
1/6/2008,0.190182073,190.1820728
1/7/2008,0.18970098,189.7009804
1/8/2008,0.189219888,189.219888
1/9/2008,0.188738796,188.7387955
1/10/2008,0.188257703,188.2577031
1/11/2008,0.187776611,187.7766106
1/12/2008,0.187295518,187.2955182
1/13/2008,0.186814426,186.8144258
1/14/2008,0.186333333,186.3333333
1/15/2008,0.187262535,187.2625354
1/16/2008,0.188191737,188.1917374
1/17/2008,0.189120939,189.1209394
1/18/2008,0.190050141,190.0501415
1/19/2008,0.190979344,190.9793435
1/20/2008,0.191908546,191.9085456
1/21/2008,0.192837748,192.8377476
1/22/2008,0.19376695,193.7669496
1/23/2008,0.194696152,194.6961517
1/24/2008,0.195625354,195.6253537
1/25/2008,0.196554556,196.5545557
1/26/2008,0.197483758,197.4837578
1/27/2008,0.19841296,198.4129598
1/28/2008,0.199342162,199.3421619
1/29/2008,0.200271364,200.2713639
1/30/2008,0.201200566,201.2005659
1/31/2008,0.202129768,202.129768
2/1/2008,0.20305897,203.05897
2/2/2008,0.203988172,203.988172
2/3/2008,0.204917374,204.9173741
2/4/2008,0.205846576,205.8465761
2/5/2008,0.206775778,206.7757782
2/6/2008,0.20770498,207.7049802
2/7/2008,0.208634182,208.6341822
2/8/2008,0.209563384,209.5633843
2/9/2008,0.210492586,210.4925863
2/10/2008,0.211421788,211.4217883
2/11/2008,0.21235099,212.3509904
2/12/2008,0.213280192,213.2801924
2/13/2008,0.214209394,214.2093945
2/14/2008,0.215138596,215.1385965
2/15/2008,0.216989035,216.9890351
2/16/2008,0.218839474,218.8394737
2/17/2008,0.220689912,220.6899123
2/18/2008,0.222540351,222.5403509
2/19/2008,0.224390789,224.3907895
2/20/2008,0.226241228,226.2412281
2/21/2008,0.228091667,228.0916667
2/22/2008,0.229942105,229.9421053
2/23/2008,0.231792544,231.7925439
2/24/2008,0.233642982,233.6429825
2/25/2008,0.235493421,235.4934211
2/26/2008,0.23734386,237.3438596
2/27/2008,0.239194298,239.1942982
2/28/2008,0.241044737,241.0447368
2/29/2008,0.242895175,242.8951754
3/1/2008,0.244745614,244.745614
3/2/2008,0.246596053,246.5960526
3/3/2008,0.248446491,248.4464912
3/4/2008,0.25029693,250.2969298
3/5/2008,0.252147368,252.1473684
3/6/2008,0.253997807,253.997807
3/7/2008,0.255848246,255.8482456
3/8/2008,0.257698684,257.6986842
3/9/2008,0.259549123,259.5491228
3/10/2008,0.261399561,261.3995614
3/11/2008,0.26325,263.25
3/12/2008,0.259796672,259.7966722
3/13/2008,0.256343344,256.3433444
3/14/2008,0.252890017,252.8900166
3/15/2008,0.249436689,249.4366888
3/16/2008,0.245983361,245.983361
3/17/2008,0.242530033,242.5300331
3/18/2008,0.239076705,239.0767053
3/19/2008,0.235623378,235.6233775
3/20/2008,0.23217005,232.1700497
3/21/2008,0.228716722,228.7167219
3/22/2008,0.225263394,225.2633941
3/23/2008,0.221810066,221.8100663
3/24/2008,0.218356738,218.3567385
3/25/2008,0.214903411,214.9034107
3/26/2008,0.211450083,211.4500829
3/27/2008,0.207996755,207.996755
3/28/2008,0.204543427,204.5434272
3/29/2008,0.201090099,201.0900994
3/30/2008,0.197636772,197.6367716
3/31/2008,0.194183444,194.1834438
4/1/2008,0.190730116,190.730116
4/2/2008,0.187276788,187.2767882
4/3/2008,0.18382346,183.8234604
4/4/2008,0.180370133,180.3701326
4/5/2008,0.176916805,176.9168048
4/6/2008,0.173463477,173.4634769
4/7/2008,0.170010149,170.0101491
4/8/2008,0.166556821,166.5568213
4/9/2008,0.163103494,163.1034935
4/10/2008,0.159650166,159.6501657
4/11/2008,0.156196838,156.1968379
4/12/2008,0.15274351,152.7435101
4/13/2008,0.149290182,149.2901823
4/14/2008,0.145836854,145.8368545
4/15/2008,0.14610703,146.1070296
4/16/2008,0.146377205,146.3772047
4/17/2008,0.14664738,146.6473798
4/18/2008,0.146917555,146.9175549
4/19/2008,0.14718773,147.18773
4/20/2008,0.147457905,147.4579051
4/21/2008,0.14772808,147.7280802
4/22/2008,0.147998255,147.9982553
4/23/2008,0.14826843,148.2684304
4/24/2008,0.148538606,148.5386055
4/25/2008,0.148808781,148.8087806
4/26/2008,0.149078956,149.0789557
4/27/2008,0.149349131,149.3491308
4/28/2008,0.149619306,149.6193059
4/29/2008,0.149889481,149.889481
4/30/2008,0.150159656,150.1596561
5/1/2008,0.150429831,150.4298312
5/2/2008,0.150700006,150.7000063
5/3/2008,0.150970181,150.9701814
5/4/2008,0.151240357,151.2403566
5/5/2008,0.151510532,151.5105317
5/6/2008,0.151780707,151.7807068
5/7/2008,0.152050882,152.0508819
5/8/2008,0.152321057,152.321057
5/9/2008,0.152591232,152.5912321
5/10/2008,0.152861407,152.8614072
5/11/2008,0.153131582,153.1315823
5/12/2008,0.153401757,153.4017574
5/13/2008,0.153671932,153.6719325
5/14/2008,0.153942108,153.9421076
5/15/2008,0.154212283,154.2122827
5/16/2008,0.154482458,154.4824578
5/17/2008,0.154752633,154.7526329
5/18/2008,0.155022808,155.022808
5/19/2008,0.155292983,155.2929831
5/20/2008,0.155563158,155.5631582
5/21/2008,0.155833333,155.8333333
5/22/2008,0.150083333,150.0833333
5/23/2008,0.144333333,144.3333333
5/24/2008,0.138583333,138.5833333
5/25/2008,0.132833333,132.8333333
5/26/2008,0.127083333,127.0833333
5/27/2008,0.121333333,121.3333333
5/28/2008,0.115583333,115.5833333
5/29/2008,0.109833333,109.8333333
5/30/2008,0.104083333,104.0833333
5/31/2008,0.098333333,98.33333333
6/1/2008,0.092583333,92.58333333
6/2/2008,0.086833333,86.83333333
6/3/2008,0.081083333,81.08333333
6/4/2008,0.075333333,75.33333333
6/5/2008,0.069583333,69.58333333
6/6/2008,0.063833333,63.83333333
6/7/2008,0.058083333,58.08333333
6/8/2008,0.052333333,52.33333333
6/9/2008,0.046583333,46.58333333
6/10/2008,0.046590873,46.59087302
6/11/2008,0.046598413,46.5984127
6/12/2008,0.046605952,46.60595238
6/13/2008,0.046613492,46.61349206
6/14/2008,0.046621032,46.62103175
6/15/2008,0.046628571,46.62857143
6/16/2008,0.046636111,46.63611111
6/17/2008,0.046643651,46.64365079
6/18/2008,0.04665119,46.65119048
6/19/2008,0.04665873,46.65873016
6/20/2008,0.04666627,46.66626984
6/21/2008,0.04667381,46.67380952
6/22/2008,0.046681349,46.68134921
6/23/2008,0.046688889,46.68888889
6/24/2008,0.046696429,46.69642857
6/25/2008,0.046703968,46.70396825
6/26/2008,0.046711508,46.71150794
6/27/2008,0.046719048,46.71904762
6/28/2008,0.046726587,46.7265873
6/29/2008,0.046734127,46.73412698
6/30/2008,0.046741667,46.74166667
7/1/2008,0.046749206,46.74920635
7/2/2008,0.046756746,46.75674603
7/3/2008,0.046764286,46.76428571
7/4/2008,0.046771825,46.7718254
7/5/2008,0.046779365,46.77936508
7/6/2008,0.046786905,46.78690476
7/7/2008,0.046794444,46.79444444
7/8/2008,0.046801984,46.80198413
7/9/2008,0.046809524,46.80952381
7/10/2008,0.046817063,46.81706349
7/11/2008,0.046824603,46.82460317
7/12/2008,0.046832143,46.83214286
7/13/2008,0.046839683,46.83968254
7/14/2008,0.046847222,46.84722222
7/15/2008,0.046854762,46.8547619
7/16/2008,0.046862302,46.86230159
7/17/2008,0.046869841,46.86984127
7/18/2008,0.046877381,46.87738095
7/19/2008,0.046884921,46.88492063
7/20/2008,0.04689246,46.89246032
7/21/2008,0.0469,46.9
7/22/2008,0.04732619,47.32619048
7/23/2008,0.047752381,47.75238095
7/24/2008,0.048178571,48.17857143
7/25/2008,0.048604762,48.6047619
7/26/2008,0.049030952,49.03095238
7/27/2008,0.049457143,49.45714286
7/28/2008,0.049883333,49.88333333
7/29/2008,0.050309524,50.30952381
7/30/2008,0.050735714,50.73571429
7/31/2008,0.051161905,51.16190476
8/1/2008,0.051588095,51.58809524
8/2/2008,0.052014286,52.01428571
8/3/2008,0.052440476,52.44047619
8/4/2008,0.052866667,52.86666667
8/5/2008,0.053292857,53.29285714
8/6/2008,0.053719048,53.71904762
8/7/2008,0.054145238,54.1452381
8/8/2008,0.054571429,54.57142857
8/9/2008,0.054997619,54.99761905
8/10/2008,0.05542381,55.42380952
8/11/2008,0.05585,55.85
8/12/2008,0.059665245,59.66524548
8/13/2008,0.063480491,63.48049096
8/14/2008,0.067295736,67.29573643
8/15/2008,0.071110982,71.11098191
8/16/2008,0.074926227,74.92622739
8/17/2008,0.078741473,78.74147287
8/18/2008,0.082556718,82.55671835
8/19/2008,0.086371964,86.37196382
8/20/2008,0.090187209,90.1872093
8/21/2008,0.094002455,94.00245478
8/22/2008,0.0978177,97.81770026
8/23/2008,0.101632946,101.6329457
8/24/2008,0.105448191,105.4481912
8/25/2008,0.109263437,109.2634367
8/26/2008,0.113078682,113.0786822
8/27/2008,0.116893928,116.8939276
8/28/2008,0.120709173,120.7091731
8/29/2008,0.124524419,124.5244186
8/30/2008,0.128339664,128.3396641
8/31/2008,0.13215491,132.1549096
9/1/2008,0.135970155,135.970155
