date,NH4,NO,DIN
1/1/2008,0.016902381,0.192587535,209.489916
1/2/2008,0.017204762,0.192106443,209.3112045
1/3/2008,0.017507143,0.19162535,209.132493
1/4/2008,0.017809524,0.191144258,208.9537815
1/5/2008,0.018111905,0.190663165,208.77507
1/6/2008,0.018414286,0.190182073,208.5963585
1/7/2008,0.018716667,0.18970098,208.4176471
1/8/2008,0.019019048,0.189219888,208.2389356
1/9/2008,0.019321429,0.188738796,208.0602241
1/10/2008,0.01962381,0.188257703,207.8815126
1/11/2008,0.01992619,0.187776611,207.7028011
1/12/2008,0.020228571,0.187295518,207.5240896
1/13/2008,0.020530952,0.186814426,207.3453782
1/14/2008,0.020833333,0.186333333,207.1666667
1/15/2008,0.020558065,0.187262535,207.8205999
1/16/2008,0.020282796,0.188191737,208.4745331
1/17/2008,0.020007527,0.189120939,209.1284663
1/18/2008,0.019732258,0.190050141,209.7823995
1/19/2008,0.019456989,0.190979344,210.4363328
1/20/2008,0.01918172,0.191908546,211.090266
1/21/2008,0.018906452,0.192837748,211.7441992
1/22/2008,0.018631183,0.19376695,212.3981324
1/23/2008,0.018355914,0.194696152,213.0520656
1/24/2008,0.018080645,0.195625354,213.7059989
1/25/2008,0.017805376,0.196554556,214.3599321
1/26/2008,0.017530108,0.197483758,215.0138653
1/27/2008,0.017254839,0.19841296,215.6677985
1/28/2008,0.01697957,0.199342162,216.3217317
1/29/2008,0.016704301,0.200271364,216.975665
1/30/2008,0.016429032,0.201200566,217.6295982
1/31/2008,0.016153763,0.202129768,218.2835314
2/1/2008,0.015878495,0.20305897,218.9374646
2/2/2008,0.015603226,0.203988172,219.5913978
2/3/2008,0.015327957,0.204917374,220.2453311
2/4/2008,0.015052688,0.205846576,220.8992643
2/5/2008,0.014777419,0.206775778,221.5531975
2/6/2008,0.014502151,0.20770498,222.2071307
2/7/2008,0.014226882,0.208634182,222.861064
2/8/2008,0.013951613,0.209563384,223.5149972
2/9/2008,0.013676344,0.210492586,224.1689304
2/10/2008,0.013401075,0.211421788,224.8228636
2/11/2008,0.013125806,0.21235099,225.4767968
2/12/2008,0.012850538,0.213280192,226.1307301
2/13/2008,0.012575269,0.214209394,226.7846633
2/14/2008,0.0123,0.215138596,227.4385965
2/15/2008,0.012275641,0.216989035,229.2646761
2/16/2008,0.012251282,0.218839474,231.0907557
2/17/2008,0.012226923,0.220689912,232.9168354
2/18/2008,0.012202564,0.222540351,234.742915
2/19/2008,0.012178205,0.224390789,236.5689946
2/20/2008,0.012153846,0.226241228,238.3950742
2/21/2008,0.012129487,0.228091667,240.2211538
2/22/2008,0.012105128,0.229942105,242.0472335
2/23/2008,0.012080769,0.231792544,243.8733131
2/24/2008,0.01205641,0.233642982,245.6993927
2/25/2008,0.012032051,0.235493421,247.5254723
2/26/2008,0.012007692,0.23734386,249.351552
2/27/2008,0.011983333,0.239194298,251.1776316
2/28/2008,0.011958974,0.241044737,253.0037112
2/29/2008,0.011934615,0.242895175,254.8297908
3/1/2008,0.011910256,0.244745614,256.6558704
3/2/2008,0.011885897,0.246596053,258.4819501
3/3/2008,0.011861538,0.248446491,260.3080297
3/4/2008,0.011837179,0.25029693,262.1341093
3/5/2008,0.011812821,0.252147368,263.9601889
3/6/2008,0.011788462,0.253997807,265.7862686
3/7/2008,0.011764103,0.255848246,267.6123482
3/8/2008,0.011739744,0.257698684,269.4384278
3/9/2008,0.011715385,0.259549123,271.2645074
3/10/2008,0.011691026,0.261399561,273.090587
3/11/2008,0.011666667,0.26325,274.9166667
3/12/2008,0.011561275,0.259796672,271.3579467
3/13/2008,0.011455882,0.256343344,267.7992267
3/14/2008,0.01135049,0.252890017,264.2405068
3/15/2008,0.011245098,0.249436689,260.6817868
3/16/2008,0.011139706,0.245983361,257.1230668
3/17/2008,0.011034314,0.242530033,253.5643469
3/18/2008,0.010928922,0.239076705,250.0056269
3/19/2008,0.010823529,0.235623378,246.4469069
3/20/2008,0.010718137,0.23217005,242.888187
3/21/2008,0.010612745,0.228716722,239.329467
3/22/2008,0.010507353,0.225263394,235.770747
3/23/2008,0.010401961,0.221810066,232.2120271
