date,Inflows_cmd
2008-01-01,623265.1204046401
2008-01-02,805534.9985995201
2008-01-03,519946.235086925
2008-01-04,58717.81310976
2008-01-05,265649.080207219
2008-01-06,632072.470271904
2008-01-07,300659.635057018
2008-01-08,712516.196331475
2008-01-09,475100.4409045061
2008-01-10,449582.722377062
2008-01-11,403391.376064051
2008-01-12,669285.206429414
2008-01-13,572205.0887546111
2008-01-14,818110.3969071931
2008-01-15,564938.759382278
2008-01-16,377873.593116768
2008-01-17,380442.49744032
2008-01-18,591019.2547051971
2008-01-19,960427.309912934
2008-01-20,1512693.19448473
2008-01-21,1205745.826453459
2008-01-22,727757.8627307909
2008-01-23,766511.6193832321
2008-01-24,808177.0425100991
2008-01-25,908022.0482315139
2008-01-26,841132.076913792
2008-01-27,661651.729675546
2008-01-28,620842.857616742
2008-01-29,411562.93838849297
2008-01-30,297381.257645472
2008-01-31,281307.25630667503
2008-02-01,389323.56667317095
2008-02-02,399476.85519006697
2008-02-03,662287.4930609281
2008-02-04,352209.01563671
2008-02-05,266725.666051085
2008-02-06,260437.9668972484
2008-02-07,358056.331192224
2008-02-08,58473.155555136
2008-02-09,331706.71255921904
2008-02-10,556253.416193126
2008-02-11,762842.2553176321
2008-02-12,747746.481573331
2008-02-13,4288723.347594528
2008-02-14,6915146.710553516
2008-02-15,3638643.726993178
2008-02-16,1769239.9144964158
2008-02-17,2463186.6668517697
2008-02-18,3103724.513983104
2008-02-19,2500962.2120146747
2008-02-20,2140679.738649773
2008-02-21,1927754.446015066
2008-02-22,2769522.71309568
2008-02-23,2941370.115043738
2008-02-24,2655096.535847635
2008-02-25,2506662.8296671743
2008-02-26,2580377.973720826
2008-02-27,2115675.59162256
2008-02-28,1893943.061855309
2008-02-29,1957431.697280237
2008-03-01,2133804.941889638
2008-03-02,2220609.555004954
2008-03-03,1663010.634996115
2008-03-04,1733643.029441664
2008-03-05,1931375.538873101
2008-03-06,2482882.727346202
2008-03-07,3535595.253382349
2008-03-08,4107898.205158814
2008-03-09,4086882.1212166087
2008-03-10,3167605.82547239
2008-03-11,2728665.706721472
2008-03-12,4148046.509872604
2008-03-13,2939266.92974181
2008-03-14,3314645.01580141
2008-03-15,4059308.63503192
2008-03-16,5011833.634770187
2008-03-17,4608760.764466028
2008-03-18,3884231.8983074697
2008-03-19,3876745.74755005
2008-03-20,4080838.966882674
2008-03-21,4341374.909536489
2008-03-22,4493600.840023545
2008-03-23,5014550.171084426
2008-03-24,4296137.727686512
2008-03-25,4109561.876530255
2008-03-26,4334891.407840399
2008-03-27,5189161.849090618
2008-03-28,4999454.41344509
2008-03-29,5221358.81548906
2008-03-30,5123715.9934911
2008-03-31,4918203.72007926
2008-04-01,4974499.431450719
2008-04-02,6470922.930762874
2008-04-03,6217653.438268593
2008-04-04,5927318.302091325
2008-04-05,5644494.096473665
2008-04-06,6126640.7393711815
2008-04-07,11128224.00369318
2008-04-08,9691570.312765757
2008-04-09,7613913.216734958
2008-04-10,8095201.963800252
2008-04-11,8757441.290335856
2008-04-12,7302854.8045904795
2008-04-13,6957790.610901754
2008-04-14,6697474.88420454
2008-04-15,5975295.205666696
2008-04-16,4683112.509362974
2008-04-17,4724337.379789441
2008-04-18,4831130.40238282
2008-04-19,4387028.009229329
2008-04-20,3677716.82686343
2008-04-21,3162565.87984714
2008-04-22,2970558.630978222
2008-04-23,2540646.37599293
2008-04-24,2343378.9896996017
2008-04-25,2223986.1030430803
2008-04-26,1886578.869461128
2008-04-27,1871728.155895452
2008-04-28,1048675.676384854
2008-04-29,1567985.801829758
2008-04-30,1407563.843262796
2008-05-01,1195543.606425636
2008-05-02,1212082.45711822
2008-05-03,1156398.3976857997
2008-05-04,1136360.9439620918
2008-05-05,1057850.3346832541
2008-05-06,1164202.973678308
2008-05-07,1666802.9881423921
2008-05-08,1056578.1153992042
2008-05-09,883825.4160792002
2008-05-10,1443748.6955916847
2008-05-11,2000099.9748066615
2008-05-12,947632.1063251392
2008-05-13,2011988.9308298691
2008-05-14,1066682.4724051815
2008-05-15,544191.7987501633
2008-05-16,644427.9988796158
2008-05-17,757337.4603385922
2008-05-18,921722.8712904582
2008-05-19,878956.7307421826
2008-05-20,851971.0024671558
2008-05-21,952720.9834613183
2008-05-22,529781.4687828097
2008-05-23,468103.29926209955
2008-05-24,809938.8345827518
2008-05-25,704246.7709851845
2008-05-26,736125.6503526911
2008-05-27,470036.0939436288
2008-05-28,642323.94390985
2008-05-29,170477.3840620032
2008-05-30,101288.227614336
2008-05-31,35475.34542048
2008-06-01,370215.811657037
2008-06-02,589013.06275728
2008-06-03,183835.6865444736
2008-06-04,195750.50945466242
2008-06-05,221145.9636246336
2008-06-06,560804.046709133
2008-06-07,212852.07252288
2008-06-08,119882.20176576
2008-06-09,34252.00128
2008-06-10,202429.6606958976
2008-06-11,849451.0296545286
2008-06-12,297038.7370689988
2008-06-13,131185.3807893888
2008-06-14,607093.2560439939
2008-06-15,683034.9609992834
2008-06-16,158611.4926627392
2008-06-17,988098.4658599488
2008-06-18,222075.6623322048
2008-06-19,1188057.0852541442
2008-06-20,1277283.695425517
2008-06-21,1420604.090924256
2008-06-22,845389.3196762501
2008-06-23,2815371.587147098
2008-06-24,2023391.3740068672
2008-06-25,2877905.5588552323
2008-06-26,4933932.205319021
2008-06-27,6307535.703772169
2008-06-28,6433950.527978232
2008-06-29,3605909.834581285
2008-06-30,5144854.784677176
2008-07-01,4409585.435765667
2008-07-02,6081036.917445908
2008-07-03,10563603.701755902
2008-07-04,8659115.899296306
2008-07-05,7549740.683609243
2008-07-06,6589337.452932729
2008-07-07,8771217.990825024
2008-07-08,10125713.661789715
2008-07-09,10534632.301573234
2008-07-10,6717170.477655128
2008-07-11,5656335.868374109
2008-07-12,5005155.320986863
2008-07-13,9589034.79866667
2008-07-14,9657856.968782403
2008-07-15,11345211.191513197
2008-07-16,13676650.892547151
2008-07-17,14921688.722273221
2008-07-18,15659771.633062907
2008-07-19,14173452.522966648
2008-07-20,13253686.912113175
2008-07-21,13295058.504600093
2008-07-22,12975609.135527534
2008-07-23,16564197.215241449
2008-07-24,18353842.761560556
2008-07-25,18444390.522526883
2008-07-26,18575111.05396249
2008-07-27,17753869.04035611
2008-07-28,18527109.241745263
2008-07-29,16764767.478522208
2008-07-30,18988508.924010657
2008-07-31,15323563.221498607
2008-08-01,14429315.393592425
2008-08-02,13482686.383241244
2008-08-03,14268501.982938068
2008-08-04,12707904.839257963
2008-08-05,13773510.81842279
2008-08-06,12830820.794701055
2008-08-07,10724099.057589255
2008-08-08,13091601.282174777
2008-08-09,11374276.509002527
2008-08-10,12407979.143044397
2008-08-11,9554024.302599981
2008-08-12,7388804.94417757
2008-08-13,7120048.620423108
2008-08-14,6194729.283079682
2008-08-15,7037770.284803062
2008-08-16,6548186.052244968
2008-08-17,6000960.499817477
2008-08-18,9026909.601162566
2008-08-19,46741850.27667071
2008-08-20,95205037.71040946
2008-08-21,102779146.28645918
2008-08-22,109909543.92144293
2008-08-23,98729549.9765673
2008-08-24,92996905.41690592
2008-08-25,80379646.20163615
2008-08-26,75204184.75687559
2008-08-27,62501124.13719916
2008-08-28,65047275.30817114
2008-08-29,62051565.88057761
2008-08-30,55417040.177305765
2008-08-31,52713280.60964506
2008-09-01,46880057.32927776
2008-09-02,41236296.85921134
2008-09-03,36853403.56265518
2008-09-04,33557670.57582614
2008-09-05,35651939.243407615
2008-09-06,39819093.50829638
2008-09-07,29602340.821730837
2008-09-08,24810893.874708127
2008-09-09,23884302.318080567
2008-09-10,18227623.92913007
2008-09-11,15161208.468250105
2008-09-12,14185000.359544897
2008-09-13,13799860.437055815
2008-09-14,9938699.37573529
2008-09-15,10120822.459397398
2008-09-16,10307961.02292929
2008-09-17,9403143.988663353
2008-09-18,8772343.415576298
2008-09-19,5241470.052998189
2008-09-20,5546264.434548764
2008-09-21,5972506.826214703
2008-09-22,5523682.542256974
2008-09-23,5893996.216935861
2008-09-24,5027981.870833283
2008-09-25,3772325.9032365275
2008-09-26,2508791.9623808865
2008-09-27,1920586.26955386
2008-09-28,2044187.2661499097
2008-09-29,1955939.2861970305
2008-09-30,5452218.070551303
2008-10-01,5418577.6567905
2008-10-02,4400533.106244575
2008-10-03,5074907.18981017
2008-10-04,4660212.634722486
2008-10-05,2914434.1879474763
2008-10-06,4658059.648241804
2008-10-07,7611663.510684574
2008-10-08,4273311.177840092
2008-10-09,5826837.718191569
2008-10-10,10421971.443384077
2008-10-11,10963765.59809892
2008-10-12,7436121.715241848
2008-10-13,5780988.892455038
2008-10-14,4860685.034981399
2008-10-15,4133122.3990405467
2008-10-16,4097035.409733503
2008-10-17,3047968.2812612555
2008-10-18,2766685.490710043
2008-10-19,2143885.2196591864
2008-10-20,2593370.0790143954
2008-10-21,2640417.726768598
2008-10-22,2148851.768018055
2008-10-23,1512032.6190872444
2008-10-24,1448543.983662317
2008-10-25,1535666.538863923
2008-10-26,1983903.6446905546
2008-10-27,1459871.6284414083
2008-10-28,1447027.1068236479
2008-10-29,1217269.19727625
2008-10-30,1021200.6330005756
2008-10-31,786182.5860287616
2008-11-01,126683.6817843072
2008-11-02,790292.8329464446
2008-11-03,329724.9863667646
2008-11-04,365078.0030099326
2008-11-05,1130293.4366074174
2008-11-06,350618.741531654
2008-11-07,794794.5319515264
2008-11-08,392283.92308412143
2008-11-09,774830.475494208
2008-11-10,417801.7060314046
2008-11-11,277466.132699078
2008-11-12,753789.9257965441
2008-11-13,745960.8840485757
2008-11-14,1129559.4639435457
2008-11-15,631950.463593792
2008-11-16,564620.704561267
2008-11-17,599435.474584262
2008-11-18,277955.4478083264
2008-11-19,413128.74673808616
2008-11-20,225843.388673414
2008-11-21,434242.693702137
2008-11-22,326691.23268942704
2008-11-23,281869.9686823104
2008-11-24,197071.660249632
2008-11-25,232938.45775751
2008-11-26,230418.484944883
2008-11-27,212436.15468001898
2008-11-28,432456.693553382
2008-11-29,208864.154382509
2008-11-30,713910.7443928326
2008-12-01,277612.92723185295
2008-12-02,525108.5094894913
2008-12-03,412199.0480305156
2008-12-04,695463.564774183
2008-12-05,720222.909302131
2008-12-06,283998.489407539
2008-12-07,364613.153656147
2008-12-08,365029.07149900805
2008-12-09,505168.91878763505
2008-12-10,295375.065697555
2008-12-11,923141.8851072765
2008-12-12,1458526.0118909762
2008-12-13,2412568.1461472684
2008-12-14,1493903.494289606
2008-12-15,602420.296750675
2008-12-16,446133.050856864
2008-12-17,915190.514581997
2008-12-18,565917.3896007739
2008-12-19,767050.365257165
2008-12-20,567165.143129357
2008-12-21,332930.0003323392
2008-12-22,435123.46089878445
2008-12-23,446744.694743424
2008-12-24,488703.46536144
2008-12-25,534674.61987529
2008-12-26,583190.212957229
2008-12-27,536460.620024045
2008-12-28,601955.44739689
2008-12-29,501181.00064726407
2008-12-30,307999.3955161536
2008-12-31,374937.70246128
2009-01-01,407795.21204728296
2009-01-02,368185.15395365795
2009-01-03,407990.938090982
2009-01-04,247691.308301338
2009-01-05,338288.000778605
2009-01-06,660795.5892839609
2009-01-07,549990.182794752
2009-01-08,439135.84479461797
2009-01-09,352576.001968646
2009-01-10,523836.290205446
2009-01-11,387782.22407904
2009-01-12,565477.0060024511
2009-01-13,590334.21355225
2009-01-14,730376.1978190272
2009-01-15,94266.5557966272
2009-01-16,382057.237300838
2009-01-17,278836.215004973
2009-01-18,297821.64124379505
2009-01-19,664930.301957107
2009-01-20,329211.2055020548
2009-01-21,381518.9906806652
2009-01-22,344771.42597614095
2009-01-23,300659.668877434
