date,Mean_NO,Max,Min
1/31/2008,192.3316341,281.516784,70.42579646
2/29/2008,219.8798119,276.8363139,184.6842105
3/31/2008,236.5734528,313.6573493,109.6775288
4/30/2008,157.5367426,259.1149974,54.05200053
5/31/2008,143.801502,206.7813518,34.2079108
6/30/2008,53.54138889,88.56035088,32.99134503
7/31/2008,47.60506912,144.1047619,17.75652842
8/31/2008,80.93906691,212.8952381,34.18209314
9/30/2008,196.0239542,329.7241379,64.30517241
10/31/2008,320.126013,386.0119474,177.3313146
11/30/2008,351.7953789,465.8425926,195.9233025
12/31/2008,384.3252962,494.1958525,204.8686636
1/31/2009,389.4706386,491.078341,244.647235
2/28/2009,402.9616898,471.0561224,198.6290816
3/31/2009,312.9737881,461.7406705,11.28694316
4/30/2009,249.2947775,461.2654098,3.571428571
5/31/2009,145.2515152,273.5697784,6.476190476
6/30/2009,93.62010792,189.5606641,9.380952381
7/31/2009,60.30014694,118.828469,12.28571429
8/31/2009,45.67848928,99.45737327,15.23809524
9/30/2009,58.60822977,106.2321429,18.14285714
10/31/2009,118.6374898,196.3110599,21.04761905
11/30/2009,193.5105109,289.3678571,20.61904762
12/31/2009,222.3941244,339.1134409,43.31612903
1/31/2010,345.7454991,450.7506354,219.2778998
2/28/2010,379.0007392,472.5545455,201.3244681
3/31/2010,385.8115033,460.8002289,163.625
4/30/2010,366.3181416,493.7269231,139.7548077
5/31/2010,340.144512,418.438195,191.9371183
6/30/2010,212.9308901,312.1428571,138.3963524
7/31/2010,146.5292114,242.4285714,89.65306122
8/31/2010,99.02894529,174.8181818,27.10092672
9/30/2010,93.14098787,211.2662338,14.18119658
10/31/2010,129.5243033,233.2857143,13.10215054
11/30/2010,183.2313698,325.3409091,44.03030303
12/31/2010,292.1230435,389.8715543,95.44379277
1/31/2011,339.6090079,427.2196621,232.6955153
2/28/2011,332.9971053,433.2083333,216.9653548
3/31/2011,261.041903,336.167227,113.0190973
4/30/2011,170.1048395,260.2007299,31.44866434
5/31/2011,94.20811201,227.0291971,30.06988344
6/30/2011,59.58456231,193.8576642,8.76
7/31/2011,43.92519597,160.6861314,13.09243697
8/31/2011,39.7205589,126.9708029,12.57142857
