date,Outflows_acft,LO_Outflows_cmd
1/1/2008,89.65289884,110585.0577
1/2/2008,321.322264,396344.5862
1/3/2008,1029.421327,1269770.619
1/4/2008,593.0579025,731525.0616
1/5/2008,19.04135069,23487.12524
1/6/2008,0,0
1/7/2008,150.7439447,185939.6409
1/8/2008,688.2648388,848960.9133
1/9/2008,404.6284638,499101.1175
1/10/2008,410.5789251,506440.8925
1/11/2008,194.380246,239764.1459
1/12/2008,0,0
1/13/2008,0,0
1/14/2008,61.48759373,75843.71712
1/15/2008,97.19006752,119882.0045
1/16/2008,493.8842206,609196.3085
1/17/2008,311.4049102,384111.7286
1/18/2008,126.942129,156580.5773
1/19/2008,0,0
1/20/2008,277.6859072,342520.0128
1/21/2008,55.53718144,68504.00256
1/22/2008,206.2812991,254443.8568
1/23/2008,0,0
1/24/2008,0,0
1/25/2008,253.884258,313161.1546
1/26/2008,0,0
1/27/2008,0,0
1/28/2008,39.07438942,48197.47787
1/29/2008,357.0248162,440382.9702
1/30/2008,208.2644728,256890.0619
1/31/2008,646.6114696,797582.3155
2/1/2008,176.5288981,217744.8653
2/2/2008,25.78511995,31805.42976
2/3/2008,0,0
2/4/2008,122.9751875,151687.4342
2/5/2008,585.1240195,721738.7756
2/6/2008,777.5210689,959056.6881
2/7/2008,753.7191064,929697.4433
2/8/2008,700.1651803,863639.7466
2/9/2008,507.768516,626322.3091
2/10/2008,492.6941382,607728.3656
2/11/2008,190.4131935,234870.8659
2/12/2008,0,0
2/13/2008,0,0
2/14/2008,0,0
2/15/2008,0,0
2/16/2008,0,0
2/17/2008,0,0
2/18/2008,0,0
2/19/2008,18.44630848,22753.15258
2/20/2008,347.1079552,428150.7206
2/21/2008,176.5291886,217745.2236
2/22/2008,0,0
2/23/2008,0,0
2/24/2008,0,0
2/25/2008,0,0
2/26/2008,0,0
2/27/2008,0,0
2/28/2008,142.8098951,176153.1494
2/29/2008,222.1487258,274016.0102
3/1/2008,0,0
3/2/2008,0,0
3/3/2008,79.93397631,98596.9611
3/4/2008,453.8188423,559776.4657
3/5/2008,0,0
3/6/2008,89.25633134,110095.8996
3/7/2008,0,0
3/8/2008,0,0
3/9/2008,4.363635684,5382.457344
3/10/2008,0,0
3/11/2008,0,0
3/12/2008,0,0
3/13/2008,0,0
3/14/2008,0,0
3/15/2008,0,0
3/16/2008,0,0
3/17/2008,0,0
3/18/2008,154.7109743,190832.8926
3/19/2008,111.0745457,137008.2306
3/20/2008,14.67768367,18104.62925
3/21/2008,69.4214768,85630.0032
3/22/2008,0,0
3/23/2008,0,0
3/24/2008,0,0
3/25/2008,0,0
3/26/2008,0,0
3/27/2008,0,0
3/28/2008,50.22148083,61947.19217
3/29/2008,9.520659675,11743.5433
3/30/2008,0,0
3/31/2008,101.1571004,124775.2603
4/1/2008,174.1487554,214809.0068
4/2/2008,432.3970643,533353.1309
4/3/2008,323.3062669,398791.814
