date,L006_RADP_MICROMOLE/m^2/s,L001_RADP_MICROMOLE/m^2/s,L005_RADP_MICROMOLE/m^2/s,LZ40_RADP_MICROMOLE/m^2/s,Mean_RADP
2008-01-01,144.51,56.18,82.18,159.56,110.6075
2008-01-02,343.29,212.2,296.37,367.28,304.78499999999997
2008-01-03,232.84,159.41,,237.26,209.83666666666667
2008-01-04,199.19,135.89,224.45,220.09,194.905
2008-01-05,296.64,209.0,293.27,344.35,285.815
2008-01-06,295.22,195.96,260.4,324.89,269.1175
2008-01-07,320.63,238.64,291.78,357.29,302.085
2008-01-08,330.72,223.99,294.19,359.43,302.08250000000004
2008-01-09,305.73,199.23,273.97,336.99,278.98
2008-01-10,323.44,222.89,287.82,365.16,299.8275
2008-01-11,288.06,230.95,220.7,342.56,270.5675
2008-01-12,292.1,241.73,231.01,342.78,276.905
2008-01-13,239.71,197.92,178.34,280.21,224.04500000000002
2008-01-14,338.15,252.08,295.42,355.5,310.2875
2008-01-15,342.07,265.02,305.05,370.24,320.59499999999997
2008-01-16,300.85,235.25,247.93,322.34,276.5925
2008-01-17,110.51,93.48,101.98,134.29,110.065
2008-01-18,193.42,167.82,158.85,252.18,193.0675
2008-01-19,279.86,249.49,223.24,328.85,270.36
2008-01-20,114.91,100.63,97.73,123.04,109.0775
2008-01-21,304.38,231.67,266.87,327.92,282.71
2008-01-22,327.61,262.23,267.59,353.71,302.785
2008-01-23,233.75,187.96,172.13,264.46,214.575
2008-01-24,176.12,150.32,173.49,254.81,188.685
2008-01-25,361.7,281.26,301.38,392.99,334.3325
2008-01-26,324.16,262.92,262.03,348.51,299.405
2008-01-27,307.16,239.08,217.51,345.11,277.21500000000003
2008-01-28,376.78,288.33,284.87,417.38,341.84
2008-01-29,363.97,277.18,284.81,403.58,332.385
2008-01-30,362.44,279.37,258.79,400.92,325.38
2008-01-31,312.52,280.59,263.02,358.77,303.72499999999997
2008-02-01,318.1,252.05,242.27,357.05,292.3675
2008-02-02,304.06,249.02,236.44,354.34,285.965
2008-02-03,358.2,287.01,264.68,388.91,324.70000000000005
2008-02-04,368.92,311.99,355.87,423.1,364.97
2008-02-05,375.12,251.9,334.11,422.69,345.955
2008-02-06,284.02,294.74,254.09,350.98,295.9575
2008-02-07,363.37,345.24,292.99,421.82,355.855
2008-02-08,271.62,163.77,192.71,234.79,215.7225
2008-02-09,365.17,237.88,284.15,372.96,315.03999999999996
2008-02-10,394.16,289.89,359.37,426.75,367.5425
2008-02-11,407.12,313.78,374.26,443.8,384.73999999999995
2008-02-12,127.75,100.42,113.19,149.61,122.7425
2008-02-13,138.53,122.5,168.54,187.73,154.325
2008-02-14,421.36,236.71,384.08,469.81,377.99
2008-02-15,404.33,294.29,355.56,444.92,374.77500000000003
2008-02-16,416.32,316.02,374.86,465.69,393.22249999999997
2008-02-17,370.02,291.72,320.28,443.48,356.375
2008-02-18,401.27,289.29,323.27,450.48,366.0775
2008-02-19,320.58,276.91,323.35,361.27,320.52750000000003
2008-02-20,386.47,303.49,359.11,422.74,367.95250000000004
2008-02-21,223.15,148.69,227.57,275.14,218.63750000000002
