date,RAD
1/1/2008,0.0575
1/2/2008,0.18625
1/3/2008,0.119666667
1/4/2008,0.105
1/5/2008,0.15775
1/6/2008,0.14675
1/7/2008,0.17025
1/8/2008,0.175
1/9/2008,0.15925
1/10/2008,0.16825
1/11/2008,0.1485
1/12/2008,0.14825
1/13/2008,0.11975
1/14/2008,0.17675
1/15/2008,0.18175
1/16/2008,0.15075
1/17/2008,0.05525
1/18/2008,0.102
1/19/2008,0.14175
1/20/2008,0.055
1/21/2008,0.14975
1/22/2008,0.16125
1/23/2008,0.11425
1/24/2008,0.09525
1/25/2008,0.19125
1/26/2008,0.1705
1/27/2008,0.16
1/28/2008,0.2055
1/29/2008,0.19675
1/30/2008,0.18675
1/31/2008,0.17
2/1/2008,0.16025
2/2/2008,0.1625
2/3/2008,0.18925
2/4/2008,0.1965
2/5/2008,0.1815
2/6/2008,0.15175
2/7/2008,0.18425
2/8/2008,0.1085
2/9/2008,0.16325
2/10/2008,0.204
2/11/2008,0.21375
2/12/2008,0.06175
2/13/2008,0.08175
2/14/2008,0.21575
2/15/2008,0.21275
2/16/2008,0.2225
2/17/2008,0.19475
2/18/2008,0.199
2/19/2008,0.17825
2/20/2008,0.2015
2/21/2008,0.11275
2/22/2008,0.20325
2/23/2008,0.176
2/24/2008,0.15875
2/25/2008,0.188
2/26/2008,0.1945
2/27/2008,0.11175
2/28/2008,0.25675
2/29/2008,0.21675
3/1/2008,0.2215
3/2/2008,0.2255
3/3/2008,0.177
3/4/2008,0.1425
3/5/2008,0.177
3/6/2008,0.17375
3/7/2008,0.2035
3/8/2008,0.22925
3/9/2008,0.25225
3/10/2008,0.1775
3/11/2008,0.135
3/12/2008,0.19775
3/13/2008,0.2495
3/14/2008,0.18725
3/15/2008,0.245
3/16/2008,0.22125
3/17/2008,0.24375
3/18/2008,0.1705
3/19/2008,0.224
3/20/2008,0.1465
3/21/2008,0.2715
3/22/2008,0.07325
3/23/2008,0.12125
3/24/2008,0.1765
3/25/2008,0.274
3/26/2008,0.22875
3/27/2008,0.273
3/28/2008,0.23725
3/29/2008,0.27575
3/30/2008,0.2705
3/31/2008,0.25625
4/1/2008,0.2045
4/2/2008,0.21525
4/3/2008,0.2455
4/4/2008,0.24125
4/5/2008,0.2455
4/6/2008,0.20525
4/7/2008,0.2515
4/8/2008,0.169
4/9/2008,0.27675
4/10/2008,0.28025
4/11/2008,0.284
4/12/2008,0.26025
4/13/2008,0.198
4/14/2008,0.24525
4/15/2008,0.2835
4/16/2008,0.3015
4/17/2008,0.2555
4/18/2008,0.2585
4/19/2008,0.29
4/20/2008,0.223
4/21/2008,0.29975
4/22/2008,0.29475
4/23/2008,0.2935
4/24/2008,0.2745
4/25/2008,0.2795
4/26/2008,0.28275
4/27/2008,0.2885
4/28/2008,0.25725
4/29/2008,0.14475
4/30/2008,0.30775
5/1/2008,0.3085
5/2/2008,0.2715
5/3/2008,0.2805
5/4/2008,0.278
5/5/2008,0.29625
5/6/2008,0.317
5/7/2008,0.29875
5/8/2008,0.25875
5/9/2008,0.24025
5/10/2008,0.291
5/11/2008,0.269
5/12/2008,0.2925
5/13/2008,0.31725
5/14/2008,0.31025
5/15/2008,0.303
5/16/2008,0.297
5/17/2008,0.2355
5/18/2008,0.263
5/19/2008,0.198
5/20/2008,0.215
5/21/2008,0.28325
5/22/2008,0.13075
5/23/2008,0.21925
5/24/2008,0.2475
5/25/2008,0.289
5/26/2008,0.323
5/27/2008,0.29075
5/28/2008,0.30625
5/29/2008,0.31875
5/30/2008,0.3105
5/31/2008,0.27325
6/1/2008,0.31125
6/2/2008,0.21725
6/3/2008,0.2875
6/4/2008,0.301
6/5/2008,0.311
6/6/2008,0.30175
6/7/2008,0.308
6/8/2008,0.26625
6/9/2008,0.14225
6/10/2008,0.295
6/11/2008,0.2855
6/12/2008,0.22125
6/13/2008,0.2285
6/14/2008,0.29375
6/15/2008,0.29825
6/16/2008,0.26325
6/17/2008,0.248
6/18/2008,0.1425
6/19/2008,0.22575
6/20/2008,0.2085
6/21/2008,0.15325
6/22/2008,0.22375
6/23/2008,0.21575
6/24/2008,0.14725
6/25/2008,0.1415
6/26/2008,0.08275
6/27/2008,0.224
6/28/2008,0.2015
6/29/2008,0.17225
6/30/2008,0.17875
7/1/2008,0.18575
7/2/2008,0.152
7/3/2008,0.1675
7/4/2008,0.184
7/5/2008,0.23475
7/6/2008,0.193
7/7/2008,0.1865
7/8/2008,0.19
7/9/2008,0.21425
7/10/2008,0.20625
7/11/2008,0.279666667
7/12/2008,0.149333333
7/13/2008,0.208333333
7/14/2008,0.213
7/15/2008,0.210333333
7/16/2008,0.094
7/17/2008,0.234333333
7/18/2008,0.272333333
7/19/2008,0.240666667
7/20/2008,0.304333333
7/21/2008,0.290666667
7/22/2008,0.184333333
7/23/2008,0.215333333
7/24/2008,0.21
7/25/2008,0.231
7/26/2008,0.2595
7/27/2008,0.2085
7/28/2008,0.22775
7/29/2008,0.2385
7/30/2008,0.17425
7/31/2008,0.21725
8/1/2008,0.2495
8/2/2008,0.23275
8/3/2008,0.1975
8/4/2008,0.123
8/5/2008,0.15875
8/6/2008,0.191
8/7/2008,0.2445
8/8/2008,0.15525
8/9/2008,0.17725
8/10/2008,0.1975
8/11/2008,0.2235
8/12/2008,0.15275
8/13/2008,0.21175
8/14/2008,0.17725
8/15/2008,0.21375
8/16/2008,0.1975
8/17/2008,0.21675
8/18/2008,0.03475
8/19/2008,0.01875
8/20/2008,0.1035
8/21/2008,0.177
8/22/2008,0.09425
8/23/2008,0.1735
8/24/2008,0.23475
8/25/2008,0.1895
8/26/2008,0.15475
8/27/2008,0.2115
8/28/2008,0.209
8/29/2008,0.20025
8/30/2008,0.15
8/31/2008,0.11425
9/1/2008,0.174
9/2/2008,0.19
9/3/2008,0.1945
9/4/2008,0.132
9/5/2008,0.07775
9/6/2008,0.21475
9/7/2008,0.1885
9/8/2008,0.205
9/9/2008,0.17275
9/10/2008,0.11125
9/11/2008,0.19575
9/12/2008,0.1615
9/13/2008,0.18025
9/14/2008,0.1855
9/15/2008,0.19125
9/16/2008,0.193
9/17/2008,0.227
9/18/2008,0.17625
9/19/2008,0.253
9/20/2008,0.26525
9/21/2008,0.22225
9/22/2008,0.20925
9/23/2008,0.14775
9/24/2008,0.16125
9/25/2008,0.21175
9/26/2008,0.199
9/27/2008,0.13125
9/28/2008,0.0755
9/29/2008,0.2115
9/30/2008,0.04975
10/1/2008,0.2105
10/2/2008,0.227
10/3/2008,0.21475
10/4/2008,0.09325
10/5/2008,0.135
10/6/2008,0.13275
10/7/2008,0.16825
10/8/2008,0.191
10/9/2008,0.11325
10/10/2008,0.1945
10/11/2008,0.19025
10/12/2008,0.156
10/13/2008,0.1085
10/14/2008,0.19575
10/15/2008,0.20275
10/16/2008,0.20275
10/17/2008,0.1945
10/18/2008,0.19925
10/19/2008,0.1905
10/20/2008,0.12375
10/21/2008,0.1985
10/22/2008,0.138
10/23/2008,0.098
10/24/2008,0.0725
10/25/2008,0.10375
10/26/2008,0.152
10/27/2008,0.2005
10/28/2008,0.1935
10/29/2008,0.2075
10/30/2008,0.19
10/31/2008,0.16825
11/1/2008,0.108
11/2/2008,0.12175
11/3/2008,0.18225
11/4/2008,0.086
11/5/2008,0.1635
11/6/2008,0.1695
11/7/2008,0.1525
11/8/2008,0.14375
11/9/2008,0.12325
11/10/2008,0.137
11/11/2008,0.11375
11/12/2008,0.08525
11/13/2008,0.14275
11/14/2008,0.1205
11/15/2008,0.142
11/16/2008,0.16425
11/17/2008,0.179
11/18/2008,0.1575
11/19/2008,0.186
11/20/2008,0.153
11/21/2008,0.13825
11/22/2008,0.15675
11/23/2008,0.12675
11/24/2008,0.15325
11/25/2008,0.15375
11/26/2008,0.1535
11/27/2008,0.164
11/28/2008,0.1695
11/29/2008,0.1435
11/30/2008,0.083
12/1/2008,0.076
12/2/2008,0.141
12/3/2008,0.12425
12/4/2008,0.14675
12/5/2008,0.15825
12/6/2008,0.15875
12/7/2008,0.14525
12/8/2008,0.14575
12/9/2008,0.15725
12/10/2008,0.11725
12/11/2008,0.01475
12/12/2008,0.11325
12/13/2008,0.094
12/14/2008,0.0775
12/15/2008,0.0805
12/16/2008,0.1235
12/17/2008,0.097
12/18/2008,0.13025
12/19/2008,0.1625
12/20/2008,0.14175
12/21/2008,0.1395
12/22/2008,0.099
12/23/2008,0.12825
12/24/2008,0.11375
12/25/2008,0.11275
12/26/2008,0.142
12/27/2008,0.15775
12/28/2008,0.1625
12/29/2008,0.153
12/30/2008,0.1235
12/31/2008,0.13375
1/1/2009,0.1455
1/2/2009,0.1415
1/3/2009,0.14675
1/4/2009,0.1405
1/5/2009,0.15825
1/6/2009,0.1595
1/7/2009,0.11025
1/8/2009,0.17225
1/9/2009,0.1765
1/10/2009,0.1655
1/11/2009,0.163
1/12/2009,0.11525
1/13/2009,0.05375
1/14/2009,0.13175
1/15/2009,0.0485
1/16/2009,0.10525
1/17/2009,0.1325
1/18/2009,0.15775
1/19/2009,0.129
1/20/2009,0.144
1/21/2009,0.169
1/22/2009,0.1635
1/23/2009,0.1445
1/24/2009,0.1425
1/25/2009,0.15275
1/26/2009,0.16
1/27/2009,0.13425
1/28/2009,0.16825
1/29/2009,0.13625
1/30/2009,0.03525
1/31/2009,0.16925
2/1/2009,0.18025
2/2/2009,0.07675
2/3/2009,0.15425
2/4/2009,0.18075
2/5/2009,0.21275
2/6/2009,0.189
2/7/2009,0.11575
2/8/2009,0.16625
2/9/2009,0.2
2/10/2009,0.15775
2/11/2009,0.1855
2/12/2009,0.18825
2/13/2009,0.18725
2/14/2009,0.174
2/15/2009,0.18475
2/16/2009,0.18175
2/17/2009,0.20625
2/18/2009,0.18675
2/19/2009,0.1485
2/20/2009,0.1975
2/21/2009,0.2165
2/22/2009,0.20225
2/23/2009,0.17375
2/24/2009,0.1815
2/25/2009,0.21425
2/26/2009,0.20675
2/27/2009,0.22075
2/28/2009,0.209
3/1/2009,0.13625
3/2/2009,0.18575
3/3/2009,0.22525
3/4/2009,0.143
3/5/2009,0.2195
3/6/2009,0.20325
3/7/2009,0.2185
3/8/2009,0.20925
3/9/2009,0.234
3/10/2009,0.24625
3/11/2009,0.23275
3/12/2009,0.20375
3/13/2009,0.22675
3/14/2009,0.20925
3/15/2009,0.25
3/16/2009,0.24175
3/17/2009,0.15225
3/18/2009,0.08875
3/19/2009,0.2085
3/20/2009,0.23325
3/21/2009,0.11275
3/22/2009,0.225
3/23/2009,0.16975
3/24/2009,0.236
3/25/2009,0.2245
3/26/2009,0.236
3/27/2009,0.21025
3/28/2009,0.1595
3/29/2009,0.079
3/30/2009,0.23375
3/31/2009,0.19625
4/1/2009,0.17125
4/2/2009,0.1995
4/3/2009,0.06725
4/4/2009,0.17575
4/5/2009,0.20475
4/6/2009,0.215
4/7/2009,0.181
4/8/2009,0.26225
4/9/2009,0.2225
4/10/2009,0.19475
4/11/2009,0.2095
4/12/2009,0.21775
4/13/2009,0.23525
4/14/2009,0.1475
4/15/2009,0.17975
4/16/2009,0.287
4/17/2009,0.2305
4/18/2009,0.2275
4/19/2009,0.26225
4/20/2009,0.19275
4/21/2009,0.21825
4/22/2009,0.24975
4/23/2009,0.2345
4/24/2009,0.2835
4/25/2009,0.22375
4/26/2009,0.25325
4/27/2009,0.25375
4/28/2009,0.24125
4/29/2009,0.2405
4/30/2009,0.27625
5/1/2009,0.2905
5/2/2009,0.305
5/3/2009,0.2995
5/4/2009,0.29375
5/5/2009,0.293
5/6/2009,0.29425
5/7/2009,0.3
5/8/2009,0.299
5/9/2009,0.2985
5/10/2009,0.2835
5/11/2009,0.29325
5/12/2009,0.2995
5/13/2009,0.24775
5/14/2009,0.223
5/15/2009,0.20825
5/16/2009,0.282
5/17/2009,0.279
5/18/2009,0.13925
5/19/2009,0.149
5/20/2009,0.15925
5/21/2009,0.19625
5/22/2009,0.16125
5/23/2009,0.14775
5/24/2009,0.2165
5/25/2009,0.274
5/26/2009,0.25575
5/27/2009,0.22775
5/28/2009,0.2095
5/29/2009,0.1925
5/30/2009,0.21825
5/31/2009,0.29275
6/1/2009,0.29675
6/2/2009,0.28025
6/3/2009,0.28625
6/4/2009,0.2145
6/5/2009,0.24025
6/6/2009,0.1625
6/7/2009,0.17025
6/8/2009,0.2405
6/9/2009,0.31875
6/10/2009,0.29175
6/11/2009,0.2955
6/12/2009,0.2785
6/13/2009,0.31275
6/14/2009,0.29875
6/15/2009,0.30275
6/16/2009,0.2865
6/17/2009,0.27025
6/18/2009,0.2635
6/19/2009,0.3015
6/20/2009,0.313
6/21/2009,0.273
6/22/2009,0.27725
6/23/2009,0.121
6/24/2009,0.28625
6/25/2009,0.28575
6/26/2009,0.18575
6/27/2009,0.2195
6/28/2009,0.19925
6/29/2009,0.1165
6/30/2009,0.1475
7/1/2009,0.17875
7/2/2009,0.1215
7/3/2009,0.2425
7/4/2009,0.29525
7/5/2009,0.26325
7/6/2009,0.21525
7/7/2009,0.2275
7/8/2009,0.2365
7/9/2009,0.15375
7/10/2009,0.13025
7/11/2009,0.1885
7/12/2009,0.22075
7/13/2009,0.1955
7/14/2009,0.212
7/15/2009,0.2165
7/16/2009,0.21875
7/17/2009,0.137
7/18/2009,0.1525
7/19/2009,0.10775
7/20/2009,0.12725
7/21/2009,0.20025
7/22/2009,0.1755
7/23/2009,0.254333333
7/24/2009,0.2405
7/25/2009,0.181
7/26/2009,0.2095
7/27/2009,0.221
7/28/2009,0.1735
7/29/2009,0.20625
7/30/2009,0.147
7/31/2009,0.23825
8/1/2009,0.2655
8/2/2009,0.22875
8/3/2009,0.253
8/4/2009,0.284
8/5/2009,0.24
8/6/2009,0.12675
8/7/2009,0.24425
8/8/2009,0.2265
8/9/2009,0.25525
8/10/2009,0.189
8/11/2009,0.1905
8/12/2009,0.25
8/13/2009,0.181
8/14/2009,0.25975
8/15/2009,0.12575
8/16/2009,0.2465
8/17/2009,0.248
8/18/2009,0.24825
8/19/2009,0.1385
8/20/2009,0.231
8/21/2009,0.2585
8/22/2009,0.25625
8/23/2009,0.2625
8/24/2009,0.17875
