date,S65E_NH4
1/1/2008,35.466667
1/2/2008,35.5
1/3/2008,35.533333
1/4/2008,35.566667
1/5/2008,35.6
1/6/2008,35.633333
1/7/2008,35.666667
1/8/2008,35.7
1/9/2008,35.733333
1/10/2008,35.766667
1/11/2008,35.8
1/12/2008,35.833333
1/13/2008,35.866667
1/14/2008,35.9
1/15/2008,35.933333
1/16/2008,35.966667
1/17/2008,36
1/18/2008,33.541667
1/19/2008,31.083333
1/20/2008,28.625
1/21/2008,26.166667
1/22/2008,23.708333
1/23/2008,21.25
1/24/2008,18.791667
1/25/2008,16.333333
1/26/2008,13.875
1/27/2008,11.416667
1/28/2008,8.958333
1/29/2008,6.5
1/30/2008,8.583333
1/31/2008,10.666667
2/1/2008,12.75
2/2/2008,14.833333
2/3/2008,16.916667
2/4/2008,19
2/5/2008,18.933333
2/6/2008,18.866667
2/7/2008,18.8
2/8/2008,18.733333
2/9/2008,18.666667
2/10/2008,18.6
2/11/2008,18.533333
2/12/2008,18.466667
2/13/2008,18.4
2/14/2008,18.333333
2/15/2008,18.266667
2/16/2008,18.2
2/17/2008,18.133333
2/18/2008,18.066667
2/19/2008,18
2/20/2008,14
2/21/2008,13.55
2/22/2008,13.1
2/23/2008,12.65
2/24/2008,12.2
2/25/2008,11.75
2/26/2008,11.3
2/27/2008,10.85
2/28/2008,10.4
2/29/2008,9.95
3/1/2008,9.5
3/2/2008,9.05
3/3/2008,8.6
3/4/2008,8.271429
3/5/2008,7.942857
3/6/2008,7.614286
3/7/2008,7.285714
3/8/2008,6.957143
3/9/2008,6.628571
3/10/2008,6.3
3/11/2008,5.971429
3/12/2008,5.642857
3/13/2008,5.314286
3/14/2008,4.985714
3/15/2008,4.657143
3/16/2008,4.328571
3/17/2008,4
3/18/2008,5
3/19/2008,6
3/20/2008,7
3/21/2008,8
3/22/2008,9
3/23/2008,10
3/24/2008,11
3/25/2008,12
3/26/2008,13
3/27/2008,14
3/28/2008,15
3/29/2008,16
3/30/2008,17
3/31/2008,18
4/1/2008,19
4/2/2008,20
4/3/2008,21
4/4/2008,22
4/5/2008,23
4/6/2008,24
4/7/2008,25
4/8/2008,24.857143
4/9/2008,24.714286
4/10/2008,24.571429
4/11/2008,24.428571
4/12/2008,24.285714
4/13/2008,24.142857
4/14/2008,24
4/15/2008,23.857143
4/16/2008,23.714286
4/17/2008,23.571429
4/18/2008,23.428571
4/19/2008,23.285714
4/20/2008,23.142857
4/21/2008,23
4/22/2008,22.4
4/23/2008,21.8
4/24/2008,21.2
4/25/2008,20.6
4/26/2008,20
4/27/2008,19.4
4/28/2008,18.8
4/29/2008,18.2
4/30/2008,17.6
5/1/2008,17
5/2/2008,16.4
5/3/2008,15.8
5/4/2008,15.2
5/5/2008,14.6
5/6/2008,14
5/7/2008,13
5/8/2008,12
5/9/2008,11
5/10/2008,10
5/11/2008,9
5/12/2008,8
5/13/2008,7
5/14/2008,6
5/15/2008,5
5/16/2008,4
5/17/2008,3
5/18/2008,2
5/19/2008,1
5/20/2008,7.888889
5/21/2008,14.777778
5/22/2008,21.666667
5/23/2008,28.555556
5/24/2008,35.444444
5/25/2008,42.333333
5/26/2008,49.222222
5/27/2008,56.111111
5/28/2008,63
5/29/2008,52.9
5/30/2008,42.8
5/31/2008,32.7
6/1/2008,22.6
6/2/2008,12.5
6/3/2008,2.4
6/4/2008,3.085714
6/5/2008,3.771429
6/6/2008,4.457143
6/7/2008,5.142857
6/8/2008,5.828571
6/9/2008,6.514286
6/10/2008,7.2
6/11/2008,7.885714
6/12/2008,8.571429
6/13/2008,9.257143
6/14/2008,9.942857
6/15/2008,10.628571
6/16/2008,11.314286
6/17/2008,12
6/18/2008,11.392857
6/19/2008,10.785714
6/20/2008,10.178571
6/21/2008,9.571429
6/22/2008,8.964286
6/23/2008,8.357143
6/24/2008,7.75
6/25/2008,7.142857
6/26/2008,6.535714
6/27/2008,5.928571
6/28/2008,5.321429
6/29/2008,4.714286
6/30/2008,4.107143
