date,OP
1/1/2008,56.13361345
1/2/2008,55.83487395
1/3/2008,55.53613445
1/4/2008,55.23739496
1/5/2008,54.93865546
1/6/2008,54.63991597
1/7/2008,54.34117647
1/8/2008,54.04243697
1/9/2008,53.74369748
1/10/2008,53.44495798
1/11/2008,53.14621849
1/12/2008,52.84747899
1/13/2008,52.5487395
1/14/2008,52.25
1/15/2008,52.65806452
1/16/2008,53.06612903
1/17/2008,53.47419355
1/18/2008,53.88225806
1/19/2008,54.29032258
1/20/2008,54.6983871
1/21/2008,55.10645161
1/22/2008,55.51451613
1/23/2008,55.92258065
1/24/2008,56.33064516
1/25/2008,56.73870968
1/26/2008,57.14677419
1/27/2008,57.55483871
1/28/2008,57.96290323
1/29/2008,58.37096774
1/30/2008,58.77903226
1/31/2008,59.18709677
2/1/2008,59.59516129
2/2/2008,60.00322581
2/3/2008,60.41129032
2/4/2008,60.81935484
2/5/2008,61.22741935
2/6/2008,61.63548387
2/7/2008,62.04354839
2/8/2008,62.4516129
2/9/2008,62.85967742
2/10/2008,63.26774194
2/11/2008,63.67580645
2/12/2008,64.08387097
2/13/2008,64.49193548
2/14/2008,64.9
2/15/2008,65.1875
2/16/2008,65.475
2/17/2008,65.7625
2/18/2008,66.05
2/19/2008,66.3375
2/20/2008,66.625
2/21/2008,66.9125
2/22/2008,67.2
2/23/2008,67.4875
2/24/2008,67.775
2/25/2008,68.0625
2/26/2008,68.35
2/27/2008,68.6375
2/28/2008,68.925
2/29/2008,69.2125
3/1/2008,69.5
3/2/2008,69.7875
3/3/2008,70.075
3/4/2008,70.3625
3/5/2008,70.65
3/6/2008,70.9375
3/7/2008,71.225
3/8/2008,71.5125
3/9/2008,71.8
3/10/2008,72.0875
3/11/2008,72.375
3/12/2008,71.96323529
3/13/2008,71.55147059
3/14/2008,71.13970588
3/15/2008,70.72794118
3/16/2008,70.31617647
3/17/2008,69.90441176
3/18/2008,69.49264706
3/19/2008,69.08088235
3/20/2008,68.66911765
3/21/2008,68.25735294
3/22/2008,67.84558824
3/23/2008,67.43382353
3/24/2008,67.02205882
3/25/2008,66.61029412
3/26/2008,66.19852941
3/27/2008,65.78676471
3/28/2008,65.375
3/29/2008,64.96323529
3/30/2008,64.55147059
3/31/2008,64.13970588
4/1/2008,63.72794118
4/2/2008,63.31617647
4/3/2008,62.90441176
4/4/2008,62.49264706
4/5/2008,62.08088235
4/6/2008,61.66911765
4/7/2008,61.25735294
4/8/2008,60.84558824
4/9/2008,60.43382353
4/10/2008,60.02205882
4/11/2008,59.61029412
4/12/2008,59.19852941
4/13/2008,58.78676471
4/14/2008,58.375
4/15/2008,58.80405405
4/16/2008,59.23310811
4/17/2008,59.66216216
4/18/2008,60.09121622
4/19/2008,60.52027027
4/20/2008,60.94932432
4/21/2008,61.37837838
4/22/2008,61.80743243
4/23/2008,62.23648649
4/24/2008,62.66554054
