date,Net_Inflow,LOSA_dmd_SFWMM,C44RO,C43RO,Cutback,Stage,Storage,S77_Q,S308_Q,S77EW,TotRegEW,TotRegSo
12/30/2007,284.8107652,,,,0,10.268,2126904,0,0,0,0,0
12/31/2007,354.7688102,,,,0,10.268,2126904,0,0,0,0,0
1/1/2008,324.0840652,947.12,56.00000003,0,0,10.268,2126904,0,0,0,0,0
1/2/2008,422.7235203,2937.48,51.00000003,0,1482.101429,10.15214341,2088903.039,0,0,0,0,0
1/3/2008,200.2343251,1659.86,15,0,204.4814286,9.97993763,2032780.665,0,0,0,0,0
1/4/2008,-23.80200001,1479.63,0,0,24.25142857,10.11938129,2078157.063,0,0,0,0,0
1/5/2008,223.6594601,1641.73,0,23,186.3514286,10.13087462,2081926.874,0,0,0,0,0
1/6/2008,299.1316352,2027.78,53.00000002,80,572.4014286,10.13206861,2082318.504,0,0,0,0,0
1/7/2008,233.3984452,1950.04,0,8.4,494.6614286,10.13588909,2083571.622,0,0,0,0,0
1/8/2008,146.9971851,2652.09,0,0,1194.197143,10.13501658,2083285.439,0,0,0,0,0
1/9/2008,243.5738002,2387.32,0,16,929.4271429,10.12526722,2080087.649,0,0,0,0,0
1/10/2008,282.6090802,2560.49,0,0,1102.597143,10.12570533,2080231.347,0,0,0,0,0
1/11/2008,218.7998851,2450.23,0,0,992.3371429,10.12146614,2078840.893,0,0,0,0,0
1/12/2008,485.7393153,1091.6,47.00000004,0,0,10.11213809,2075781.295,0,0,0,0,0
1/13/2008,304.4275802,1532.68,93.00000007,0,74.78714286,10.11569331,2076947.406,0,0,0,0,0
1/14/2008,313.0558052,3426.25,173.0000001,0,1968.357143,10.06734529,2061089.255,0,0,0,0,0
1/15/2008,209.4774351,3354.2,89.00000005,0,1886.564286,10.0348708,2050437.623,0,0,0,0,0
1/16/2008,165.6420851,2210.91,13.00000001,0,743.2742857,10.05341224,2056519.216,0,0,0,0,0
1/17/2008,169.609085,699.22,19.00000003,0,0,10.06181263,2059274.544,0,0,0,0,0
1/18/2008,218.5221951,300.91,131.0000001,0,0,10.04916132,2055124.913,0,0,0,0,0
1/19/2008,477.6069653,142.95,85.00000006,96,0,10.06028889,2058774.757,0,0,0,0,0
1/20/2008,521.1447903,33.96,389.0000002,0,0,10.03103202,2049178.502,0,0,0,0,0
1/21/2008,719.6534704,1032.14,256.0000002,0,0,10.0780546,2064601.909,0,0,0,0,0
1/22/2008,471.6366303,669.89,0,124,0,10.08408603,2066580.218,0,0,0,0,0
1/23/2008,362.7821502,125.76,40.00000001,124,0,10.08314748,2066272.374,0,0,0,0,0
1/24/2008,487.7228152,926.7,49.00000004,64,0,10.07402103,2063278.898,0,0,0,0,0
1/25/2008,411.0407053,851.91,195.0000001,565,0,10.05119259,2055791.169,0,0,0,0,0
1/26/2008,316.0707252,614.32,69.00000004,1114,0,10.05841543,2058160.261,0,0,0,0,0
1/27/2008,292.1497152,634.02,104.0000001,952,0,10.03393742,2050131.475,0,0,0,0,0
1/28/2008,240.0035002,896.15,97.00000006,38,0,10.0110426,2042621.973,0,0,0,0,0
1/29/2008,127.519215,1672.3,75.00000006,0,161.8428571,10.02123579,2045965.34,0,0,0,0,0
1/30/2008,57.87853006,1946.88,51.00000003,0,436.4228571,10.01493916,2043900.044,0,0,0,0,0
1/31/2008,166.5941651,2356.86,8.400000022,0,846.4028571,10.01391849,2043565.264,0,0,0,0,0
2/1/2008,178.2769802,2563.89,26.00000002,0,1053.432857,9.997349395,2038178.313,0,0,0,0,0
2/2/2008,355.3440252,3101.95,26.00000002,0,1591.492857,9.973514974,2030789.642,0,0,0,0,0
2/3/2008,239.8051502,3552.41,57.00000004,126,2041.952857,9.974394596,2031062.325,0,0,0,0,0
2/4/2008,255.2169452,3967.69,25.00000001,0,2457.232857,9.973984756,2030935.274,0,0,0,0,0
2/5/2008,235.4216151,3872.78,0,0,2325.63,9.970734311,2029927.636,0,0,0,0,0
2/6/2008,191.3482451,3718.06,0,0,2170.91,9.953298004,2024522.381,0,0,0,0,0
2/7/2008,224.7305502,3329.61,0,0,1782.46,9.931424692,2017741.654,0,0,0,0,0
2/8/2008,-40.26505004,1950.6,15,0,403.45,9.913591687,2012213.423,0,0,0,0,0
2/9/2008,264.1426951,130.2,41.00000003,0,0,9.919041937,2013903,0,0,0,0,0
2/10/2008,262.0798552,1692,115.0000001,0,144.85,9.896567189,2006935.829,0,0,0,0,0
2/11/2008,553.6146853,1508.63,160.0000001,0,0,9.88173426,2002337.621,0,0,0,0,0
2/12/2008,699.4416054,75.46,4.099999999,100,0,9.900056123,2008017.398,0,0,0,0,0
2/13/2008,3156.998107,0,126.0000001,312,0,9.981155771,2033158.289,0,0,0,0,0
2/14/2008,4641.885876,0.33,428.0000003,300,0,10.00288879,2039947.522,0,0,0,0,0
2/15/2008,2194.623741,0.32,234.0000002,912,0,10.02257701,2046405.259,0,0,0,0,0
2/16/2008,833.9030705,0.31,68.00000003,478,0,10.02962302,2048716.352,0,0,0,0,0
2/17/2008,1517.079976,93.3,42.00000004,450,0,10.04243149,2052917.528,0,0,0,0,0
2/18/2008,1801.970081,88.74,108.0000001,410,0,10.03303616,2049835.861,0,0,0,0,0
2/19/2008,1757.876876,52.46,0,176,0,10.00415721,2040363.563,0,0,0,0,0
2/20/2008,1602.092786,67.01,0,116,0,10.0044899,2040472.688,0,0,0,0,0
2/21/2008,1534.356261,0,0,72,0,10.02469309,2047099.334,0,0,0,0,0
2/22/2008,1971.618836,98.8,64.00000004,200,0,10.03751503,2051304.929,0,0,0,0,0
2/23/2008,1819.206696,80.85,151.0000001,418,0,10.02869043,2048410.461,0,0,0,0,0
2/24/2008,1741.354321,175.19,105.0000001,340,0,10.01977535,2045486.315,0,0,0,0,0
2/25/2008,1835.074696,320.26,63.00000002,152,0,10.02612529,2047569.095,0,0,0,0,0
2/26/2008,1626.747691,230.71,124.0000001,196,0,10.026562,2047712.336,0,0,0,0,0
2/27/2008,1383.848281,87.21,63.00000002,152,0,9.95092957,2023788.167,0,0,0,0,0
2/28/2008,1482.943941,120.87,58.00000002,0,0,9.938303583,2019874.111,0,0,0,0,0
2/29/2008,1611.355731,368.7,44.00000003,0,0,9.94417924,2021695.564,0,0,0,0,0
3/1/2008,1558.554961,959.53,40.00000001,96,0,9.940622023,2020592.827,0,0,0,0,0
3/2/2008,1631.924626,1505.33,69.00000004,68,0,9.94177796,2020951.168,0,0,0,0,0
3/3/2008,1342.353461,1229.24,0,40,0,9.946270787,2022343.944,0,0,0,0,0
3/4/2008,1271.820201,749.72,0,100,0,9.944805695,2021889.766,0,0,0,0,0
3/5/2008,1555.341691,278.24,16.00000002,32,0,9.937384446,2019589.178,0,0,0,0,0
3/6/2008,2131.469101,32.9,0,0,0,9.988353341,2035389.536,0,0,0,0,0
3/7/2008,3117.367777,0,38.00000002,0,0,10.05899249,2058349.537,0,0,0,0,0
3/8/2008,3414.238222,0,136.0000001,0,0,9.97142433,2030141.542,0,0,0,0,0
3/9/2008,2468.307071,38.48,510.0000003,208,0,9.999177206,2038744.934,0,0,0,0,0
3/10/2008,2777.633896,54.28,82.00000005,202,0,10.01339311,2043392.939,0,0,0,0,0
3/11/2008,2422.746076,0,49.00000004,241,0,10.03780009,2051398.431,0,0,0,0,0
3/12/2008,3577.202582,0.29,100.0000001,157,0,10.04405381,2053449.65,0,0,0,0,0
3/13/2008,2636.269852,100.36,74.00000004,306,0,10.03827275,2051553.46,0,0,0,0,0
3/14/2008,2867.248427,88.45,56.00000003,0,0,10.04800309,2054745.012,0,0,0,0,0
3/15/2008,3002.939662,108.49,97.00000006,144,0,10.06103254,2059018.672,0,0,0,0,0
3/16/2008,3454.225582,153.09,150.0000001,238,0,10.06570952,2060552.724,0,0,0,0,0
3/17/2008,3384.902257,159.32,175.0000001,134,0,10.10685614,2074048.813,0,0,0,0,0
3/18/2008,3174.571917,613.16,0,92,0,10.10503875,2073452.711,0,0,0,0,0
3/19/2008,3301.932452,2004.81,0,114.1,0,10.07875194,2064830.638,0,0,0,0,0
3/20/2008,3323.750952,1136.03,0,28,0,10.03913968,2051837.814,0,0,0,0,0
3/21/2008,3672.529592,1958.44,0,0,0,10.02538048,2047324.796,0,0,0,0,0
3/22/2008,3721.720392,118.73,0,0,0,10.02501849,2047206.066,0,0,0,0,0
3/23/2008,4160.668943,0,0,0,0,10.11901849,2078038.066,0,0,0,0,0
3/24/2008,3698.810967,97.94,0,0,0,10.0927199,2069412.126,0,0,0,0,0
3/25/2008,3476.976327,127.48,0,0,0,10.06633124,2060756.646,0,0,0,0,0
3/26/2008,3526.424982,143.91,29.00000003,19,0,10.08778183,2067792.439,0,0,0,0,0
3/27/2008,4115.405473,233.66,3.699999986,104,0,10.09859897,2071340.463,0,0,0,0,0
3/28/2008,3862.330707,253.33,0,96,0,10.10139195,2072256.559,0,0,0,0,0
3/29/2008,3954.464282,416.28,71.00000003,96,0,10.1016862,2072353.073,0,0,0,0,0
3/30/2008,3971.224857,496.11,33.00000002,94,0,10.10174553,2072372.532,0,0,0,0,0
3/31/2008,3887.402148,1059.9,0,76,0,10.1363315,2083716.731,0,0,0,0,0
4/1/2008,3775.572418,1153.59,0,74,0,10.11651209,2077215.966,0,0,0,0,0
4/2/2008,5317.386637,555.46,0,66,0,10.12531933,2080104.739,0,0,0,0,0
4/3/2008,5022.737713,1634.48,0,442,0,10.15570647,2090071.721,0,0,0,0,0
4/4/2008,4766.013308,2489.69,0,216,0,10.17532419,2096506.334,0,0,0,0,0
4/5/2008,4451.747568,2521.2,0,86,0,10.15003551,2088211.648,0,0,0,0,0
4/6/2008,5121.059808,349.33,0,86,0,10.17508417,2096427.608,0,0,0,0,0
4/7/2008,9578.837214,0,62.00000005,952,0,10.30215192,2138105.83,0,0,0,0,0
4/8/2008,8031.945234,0,93.00000007,1304,0,10.32763956,2146465.775,0,0,0,0,0
4/9/2008,5845.553018,0,87.00000005,682,0,10.35098284,2154122.371,0,0,0,0,0
4/10/2008,5214.681008,117.04,0,1016,0,10.3545382,2155288.528,0,0,0,0,0
4/11/2008,6278.313049,121.86,0,776,0,10.36034484,2157193.106,0,0,0,0,0
4/12/2008,5042.691723,114.47,0,642,0,10.33441932,2148689.537,0,0,0,0,0
4/13/2008,5285.154763,0.91,12,465,0,10.32163403,2144495.962,0,0,0,0,0
4/14/2008,4823.653818,125.35,35.00000001,412,0,10.29631333,2136190.773,0,0,0,0,0
4/15/2008,4689.291528,138.87,2.500000018,166,0,10.24319361,2118767.503,0,0,0,0,0
4/16/2008,3621.791663,259.11,1.600000016,9.6,0,10.23834558,2117177.352,0,0,0,0,0
4/17/2008,3697.720042,668.79,0,0,0,10.22253155,2111990.348,0,0,0,0,0
4/18/2008,3831.467447,2240.98,0,0,0,10.2406729,2117940.711,0,0,0,0,0
4/19/2008,3623.675987,3317.7,41.00000003,0,29.72142857,10.23573709,2116321.764,0,0,0,0,0
4/20/2008,2964.777122,1673.62,81.00000004,0,0,10.21984405,2111108.847,0,0,0,0,0
4/21/2008,2484.313916,4047.86,73.00000003,0,759.8814286,10.20599069,2106564.948,0,0,0,0,0
4/22/2008,2186.253371,4694.29,5.300000002,0,1113.475714,10.19624839,2103369.471,0,0,0,0,0
4/23/2008,1862.010626,5148.01,0,0,1567.195714,10.16269735,2092364.73,0,0,0,0,0
4/24/2008,1766.663781,4726.18,0,0,1145.365714,10.15384416,2089460.884,0,0,0,0,0
4/25/2008,1739.886531,6401.38,0,0,2820.565714,10.14052274,2085091.459,0,0,0,0,0
4/26/2008,1635.514761,7250.07,0,0,3669.255714,10.10824223,2074503.451,0,0,0,0,0
4/27/2008,1629.683271,6626.22,0,0,3045.405714,10.0927825,2069432.66,0,0,0,0,0
4/28/2008,891.9402802,5556.12,0,0,1975.305714,10.04490007,2053727.222,0,0,0,0,0
4/29/2008,1083.506711,5232.94,27,0,1393.311429,10.00378047,2040239.994,0,0,0,0,0
4/30/2008,921.9308006,6788.62,27,0,2948.991429,9.96261066,2027409.305,0,0,0,0,0
5/1/2008,822.2995956,8564.24,0,0,4724.611429,9.951474184,2023956.997,0,0,0,0,0
5/2/2008,832.9509904,7863.39,0,0,4023.761429,9.90465976,2009444.526,0,0,0,0,0
5/3/2008,1018.84461,6754.32,0,0,2914.691429,9.855605718,1994237.772,0,0,0,0,0
5/4/2008,1005.99153,5888.75,6.300000017,0,2049.121429,9.815334375,1981753.656,0,0,0,0,0
5/5/2008,859.4108806,7755.91,0,0,3916.281429,9.761231512,1964981.769,0,0,0,0,0
5/6/2008,881.1103706,9472.58,0,0,5446.972857,9.728188252,1954738.358,0,0,0,0,0
5/7/2008,1265.453166,8759.24,8.900000012,0,4733.632857,9.709822761,1949045.056,0,0,0,0,0
5/8/2008,691.7654607,5563.86,0,0,1538.252857,9.707932922,1948459.206,0,0,0,0,0
5/9/2008,510.4140553,6981.25,22,0,2955.642857,9.709392494,1948911.673,0,0,0,0,0
5/10/2008,1063.770886,9798.7,61.00000003,0,5773.092857,9.66786393,1936037.818,0,0,0,0,0
5/11/2008,1580.631316,9630.72,66.00000003,0,5605.112857,9.619142392,1920934.142,0,0,0,0,0
5/12/2008,697.8349704,11096.73,19.00000003,0,7071.122857,9.547058514,1898588.139,0,0,0,0,0
5/13/2008,688.1356556,10583.75,66.00000003,348,6496.071429,9.534532318,1894705.018,0,0,0,0,0
5/14/2008,641.9399406,10153.16,0,0,6065.481429,9.506226361,1885930.172,0,0,0,0,0
5/15/2008,222.7668852,10004.32,0,0,5916.641429,9.463915872,1872813.92,0,0,0,0,0
5/16/2008,363.3375302,10068.62,0,0,5980.941429,9.399138301,1852732.873,0,0,0,0,0
5/17/2008,544.2525653,11216.43,75.00000006,0,7128.751429,9.345334301,1836053.633,0,0,0,0,0
