date,Outflows_cmd
1/1/2008,110585.2147
1/2/2008,396345.2385
1/3/2008,1269772.709
1/4/2008,731526.0883
1/5/2008,23487.12524
1/6/2008,0
1/7/2008,185939.7415
1/8/2008,848961.7146
1/9/2008,511334.2892
1/10/2008,518674.0158
1/11/2008,251997.2813
1/12/2008,0
1/13/2008,0
1/14/2008,95416.4463
1/15/2008,134561.655
1/16/2008,618983.6132
1/17/2008,393898.663
1/18/2008,176153.4393
1/19/2008,0
1/20/2008,342520.5765
1/21/2008,68504.11529
1/22/2008,254443.8568
1/23/2008,0
1/24/2008,0
1/25/2008,313161.6699
1/26/2008,0
1/27/2008,7339.726639
1/28/2008,67770.14263
1/29/2008,455063.0516
1/30/2008,271569.8856
1/31/2008,809816.5058
2/1/2008,229978.1013
2/2/2008,31805.4821
2/3/2008,0
2/4/2008,171260.2882
2/5/2008,741312.3905
2/6/2008,976183.6429
2/7/2008,946824.7364
2/8/2008,863641.1678
2/9/2008,626323.3398
2/10/2008,607729.3657
2/11/2008,234871.2524
2/12/2008,0
2/13/2008,0
2/14/2008,0
2/15/2008,0
2/16/2008,0
2/17/2008,0
2/18/2008,0
2/19/2008,22753.15258
2/20/2008,428150.7206
2/21/2008,217745.2236
2/22/2008,0
2/23/2008,0
2/24/2008,0
2/25/2008,0
2/26/2008,0
2/27/2008,0
2/28/2008,176153.4393
2/29/2008,274016.4612
3/1/2008,0
3/2/2008,0
3/3/2008,98596.99451
3/4/2008,559776.485
3/5/2008,0
3/6/2008,110095.8996
3/7/2008,0
3/8/2008,0
3/9/2008,5382.466202
3/10/2008,0
3/11/2008,0
3/12/2008,0
3/13/2008,0
3/14/2008,0
3/15/2008,0
3/16/2008,0
3/17/2008,0
3/18/2008,190832.8926
3/19/2008,137008.2306
3/20/2008,18104.65904
3/21/2008,85630.14412
3/22/2008,0
3/23/2008,0
3/24/2008,0
3/25/2008,0
3/26/2008,0
3/27/2008,0
3/28/2008,61947.29283
3/29/2008,11743.56262
3/30/2008,0
3/31/2008,124775.3529
4/1/2008,214809.333
4/2/2008,533353.4691
4/3/2008,398791.814
4/4/2008,609197.311
4/5/2008,320501.3966
