n,Par,Description,No_3M,,Description,Best,,,R2=0.23,,R2=0.4,Final_Cal_based_On_P_Mean,,8Reg_Cal_1,8Reg_Cal_2,8RegVB_Cal,,Cal_EditedSS,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.001463325,v_diff_M,0.001058064,,v_diff_M,0.008367453,0.01,0.01,0.008367453,0.003912853,0.01,0.01,,0.022071495,0.040820182,0.04340053,,0.049985871,,0.001463325,,,,,,,,,,,,,,,,,,,,,,,
1,0.001073114,v_diff_S,0.00103971,,v_diff_S,9.07E-05,8.00E-03,9.00E-03,9.07E-05,0.007152599,9.00E-03,9.00E-03,,0.016465168,0.013238549,0.001107498,,0.001004694,,0.001073114,,,,,,,,,,,,,,,,,,,,,,,
2,0.001068127,v_diff_R,0.008127864,,v_diff_R,0.010095866,0.010095866,0.010095866,0.010095866,0.007721643,0.010095866,0.010095866,,0.023997461,0.001062624,0.025494961,,0.001093518,,0.001068127,,,,,,,,,,,,,,,,,,,,,,,
3,0.02004823,v_diff_P,0.024466205,,v_diff_P,0.02664118,0.01,0.01,0.024,0.004330505,0.01,0.01,,0.02303013,0.041420094,0.049219132,,0.001777842,,0.02004823,,,,,,,,,,,,,,,,,,,,,,,
4,3.27E-05,K_decomp_M,3.53E-05,,K_decomp_M,1.84E-05,4.00E-05,4.00E-05,1.84E-05,0.000713501,4.00E-05,4.00E-05,,1.33E-05,1.00E-05,1.00E-05,,1.00E-05,,3.27E-05,,,,,,,,,,,,,,,,,,,,,,,
5,0.000134828,K_decomp_S,0.000299163,,K_decomp_S,0.000153547,0.000153547,0.000153547,0.000153547,0.000522054,0.000153547,0.000153547,,3.45E-05,1.02E-05,1.14E-05,,0.000347661,,0.000134828,,,,,,,,,,,,,,,,,,,,,,,
6,0.000107961,K_decomp_R,0.000186881,,K_decomp_R,0.000314147,0.000200394,0.000200394,0.000200394,0.000541323,0.000200394,0.000200394,,0.000545084,1.01E-05,1.02E-05,,0.000111213,,0.000107961,,,,,,,,,,,,,,,,,,,,,,,
7,0.000195048,K_decomp_P,1.07E-05,,K_decomp_P,6.10E-05,5.04E-05,5.04E-05,5.04E-05,0.000771746,5.04E-05,5.04E-05,,0.000140761,1.00E-05,1.00E-05,,1.00E-05,,0.000195048,,,,,,,,,,,,,,,,,,,,,,,
8,3.42E-05,K_des_M,2.06E-05,,K_des_M,9.45E-05,1.00E-04,1.00E-04,9.45E-05,0.000822252,1.00E-04,1.00E-04,,0.000622469,1.17E-05,1.07E-05,,1.03E-05,,3.42E-05,,,,,,,,,,,,,,,,,,,,,,,
9,1.10E-05,K_des_S,2.01E-05,,K_des_S,0.001470516,0.000183162,0.000183162,0.001831615,0.000347689,0.000183162,0.000183162,,0.000350621,0.000126651,0.000684777,,1.02E-05,,1.10E-05,,,,,,,,,,,,,,,,,,,,,,,
10,0.00028509,K_des_R,1.61E-05,,K_des_R,0.000172951,0.000112878,0.000112878,0.000112878,4.46E-05,0.000112878,0.000112878,,0.000276138,0.000601868,1.08E-05,,1.04E-05,,0.00028509,,,,,,,,,,,,,,,,,,,,,,,
11,5.35E-05,K_des_P,8.48E-05,,K_des_P,0.000545931,0.00048009,0.00048009,0.00048009,0.0005918,0.00048009,0.00048009,,0.000349893,1.10E-05,1.07E-05,,3.13E-05,,5.35E-05,,,,,,,,,,,,,,,,,,,,,,,
